#Constant Temperature fit results; RIPL III discrete level library; December 2021 
#  Z   A El         T        dT        U0       dU0NlevNmax  N0  Nc     Umax       Uc     Chi Fit Flag NoX  Xm  EX   sigma
#               [MeV]     [MeV]     [MeV]     [MeV]                    [MeV]    [MeV]                         [MeV]     
#-------------------------------------------------------------------------------------------------------------------------
  11  20 Na   2.48174   0.38423  -3.09654   0.94169  25  19   7   8  4.15000  2.05700  5.002E-02   F   0             1.894
  11  21 Na   2.33072   0.35565  -1.21937   0.97468  63  25   9  11  6.34100  4.29430  5.628E-03 *     0             2.101
  11  22 Na   2.20315   0.33206  -2.15552   1.11279 154  41  19  12  5.99500  3.05940  3.456E-03 *     0             2.236
  11  23 Na   2.09585   0.30958  -0.45447   1.06402 309  78   7  16  8.66500  5.76603  4.779E-03 *     0             2.506
  11  24 Na   2.00524   0.28719  -2.67336   1.03877 139  76  14   4  5.96737  1.34146  4.457E-03 *     0             2.137
  11  25 Na   1.92823   0.26517  -0.86140   0.79768  43  30  13   4  5.74600  2.20200  4.784E-03 *     0             1.692
  11  26 Na   1.86234   0.24439  -2.99479   0.71740  45  25  14   4  2.93780  0.40670  1.115E-02 *     0             2.189
  11  27 Na   1.80550   0.22606  -1.07629   0.56360  32  20   7   1  4.52540  0.00000  1.105E-02 *     0             2.216
  11  28 Na   1.75598   0.21151   0.00000   1.00000   9   1   1   1  0.00000  0.00000                  0             0.000
  11  29 Na   1.71225   0.20184   0.00000   1.00000   7   1   1   1  0.00000  0.00000                  0             0.000
  11  30 Na   1.67295   0.19749   0.00000   1.00000   7   1   1   2  0.00000  0.15062                  0             0.000
  11  31 Na   1.63684   0.19791   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  11  32 Na   1.60275   0.20152   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  11  33 Na   1.56960   0.20609   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
